date,year,month,day,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5,quarter
2020-03-31,2020,2.0,18.166666666666668,0.008340000000000002,-0.005825833333333331,0.0004974999999999979,-0.0045225,-0.008258333333333335,-0.06260833333333334,-0.005666666666666668,-0.0017658333333333345,-0.0013983333333333341,0.0015333333333333334,0.011558333333333335,0.013808333333333334,0.02590833333333334,1
2020-06-30,2020,5.0,14.692307692307692,-0.23693846153846154,-0.33457692307692305,-0.29117692307692306,-0.2541538461538462,-0.2935,-0.36369230769230765,-0.1844307692307692,-0.1829769230769231,-0.1827923076923077,-0.26616153846153845,-0.2717076923076923,-0.28092307692307694,-0.2328923076923077,2
2020-09-30,2020,7.923076923076923,16.384615384615383,-0.1495076923076923,-0.1854230769230769,-0.19767692307692306,-0.2436153846153846,-0.1218153846153846,-0.29092307692307695,-0.09453846153846154,-0.00041538461538461553,0.010423076923076924,-0.1416923076923077,-0.23384615384615384,-0.28153846153846157,-0.21066923076923078,3
2020-12-31,2020,10.923076923076923,15.692307692307692,-0.16306153846153848,-0.14878461538461538,-0.18064615384615385,-0.22476923076923078,-0.12118461538461539,-0.30730769230769234,-0.17465384615384616,-0.052996153846153846,-0.03897692307692308,-0.13863846153846154,-0.22315384615384617,-0.26661538461538464,-0.20190769230769232,4
2021-03-31,2021,1.9230769230769231,15.307692307692308,-0.03456846153846154,0.02096153846153846,-0.09173076923076923,-0.13542923076923077,-0.022101538461538464,-0.11350769230769231,0.09920000000000001,0.06326923076923077,0.05897692307692308,0.008483846153846156,-0.08733846153846153,-0.13366153846153847,-0.08210923076923077,1
2021-06-30,2021,4.923076923076923,16.0,0.16360769230769232,0.19756153846153848,0.15593846153846155,-0.07260346153846155,0.1804076923076923,0.2226076923076923,0.5452307692307692,0.3723076923076923,0.3525384615384616,0.1787923076923077,0.0501,-0.008926923076923074,0.03877692307692308,2
2021-09-30,2021,7.923076923076923,15.384615384615385,0.05780992307692308,0.1315,0.07954923076923077,-0.18484615384615385,0.08785384615384614,0.13108999999999998,0.3893076923076923,0.22734615384615386,0.20853076923076924,0.09175384615384616,-0.03375769230769231,-0.07926923076923077,-0.11642461538461538,3
2021-12-31,2021,11.0,15.857142857142858,0.10805,0.17699285714285715,0.1282142857142857,-0.11369285714285714,0.19415,0.10729,0.2490285714285714,0.22135714285714286,0.21828571428571428,0.1359357142857143,0.044469999999999996,0.009358571428571426,-0.004989285714285718,4
2022-03-31,2022,2.0,15.5,0.2718,0.4397166666666667,0.278775,0.02716666666666667,0.2758583333333333,0.31399166666666667,0.5039166666666667,0.33641666666666664,0.31706666666666666,0.310425,0.22708333333333333,0.1981825,0.16429166666666667,1
2022-06-30,2022,4.923076923076923,15.0,0.2949538461538462,0.5060769230769231,0.3022846153846154,-0.0079,0.3613846153846154,0.34425384615384613,0.5656153846153846,0.3318692307692308,0.30496923076923077,0.32726923076923076,0.26066153846153844,0.2250307692307692,0.2834230769230769,2
